iter	Passed	Remaining
0	13	13967
1	24	12213
2	36	12201
3	46	11616
4	55	11038
5	69	11526
6	80	11412
7	90	11271
8	101	11136
9	111	11004
10	121	10916
11	131	10862
12	141	10719
13	150	10590
14	160	10569
15	169	10450
16	180	10454
17	189	10346
18	198	10274
19	209	10265
20	218	10194
21	229	10182
22	238	10111
23	247	10070
24	257	10034
25	266	9986
26	276	9976
27	285	9922
28	295	9893
29	304	9855
30	314	9816
31	324	9808
32	333	9766
33	344	9802
34	354	9768
35	364	9769
36	374	9758
37	384	9723
38	393	9697
39	403	9676
40	412	9643
41	422	9627
42	431	9596
43	441	9592
44	451	9577
45	460	9546
46	469	9527
47	478	9496
48	491	9533
49	500	9516
50	509	9487
51	519	9475
52	528	9444
53	542	9511
54	554	9534
55	565	9527
56	575	9512
57	585	9507
58	595	9500
59	605	9489
60	615	9477
61	625	9457
62	634	9442
63	644	9426
64	654	9417
65	664	9407
66	673	9379
67	683	9361
68	692	9338
69	701	9320
70	710	9300
71	720	9288
72	729	9267
73	739	9249
74	749	9247
75	758	9226
76	769	9220
77	779	9208
78	788	9189
79	798	9177
80	807	9157
81	817	9149
82	826	9133
83	835	9113
84	845	9099
85	854	9080
86	865	9086
87	874	9066
88	883	9046
89	893	9031
90	902	9011
91	911	8999
92	920	8981
93	931	8975
94	940	8960
95	949	8941
96	959	8927
97	968	8909
98	978	8902
99	987	8886
100	996	8867
101	1006	8862
102	1016	8855
103	1027	8854
104	1072	9142
105	1089	9192
106	1112	9281
107	1122	9267
108	1131	9250
109	1142	9240
110	1151	9225
111	1161	9211
112	1171	9196
113	1181	9185
114	1191	9171
115	1201	9157
116	1211	9143
117	1221	9126
118	1229	9105
119	1239	9090
120	1248	9071
121	1258	9053
122	1267	9035
123	1276	9019
124	1285	9001
125	1294	8981
126	1304	8969
127	1313	8950
128	1323	8934
129	1332	8916
130	1341	8898
131	1350	8882
132	1359	8861
133	1370	8855
134	1379	8841
135	1389	8825
136	1398	8811
137	1408	8795
138	1417	8781
139	1427	8765
140	1437	8757
141	1447	8745
142	1457	8733
143	1467	8722
144	1478	8716
145	1488	8708
146	1498	8696
147	1508	8685
148	1522	8694
149	1534	8694
150	1547	8703
151	1559	8702
152	1571	8699
153	1582	8691
154	1592	8684
155	1603	8677
156	1614	8668
157	1624	8658
158	1634	8647
159	1645	8640
160	1657	8639
161	1671	8644
162	1681	8635
163	1693	8631
164	1713	8668
165	1726	8675
166	1736	8663
167	1748	8657
168	1759	8649
169	1769	8641
170	1780	8632
171	1791	8624
172	1802	8617
173	1814	8611
174	1824	8599
175	1835	8593
176	1847	8591
177	1858	8582
178	1875	8600
179	1885	8587
180	1896	8583
181	1906	8569
182	1917	8561
183	1928	8554
184	1940	8547
185	1953	8548
186	1964	8540
187	1976	8538
188	1989	8535
189	2001	8530
190	2012	8522
191	2022	8512
192	2033	8504
193	2045	8496
194	2055	8486
195	2066	8475
196	2076	8464
197	2086	8450
